negatives
"frozenset({'P83876', 'AndrogenReceptor', 'O75643'})"
"frozenset({'Q99878', 'AndrogenReceptor', 'Q9UQL6'})"
"frozenset({'AndrogenReceptor', 'P63279', 'Q96EP1'})"
"frozenset({'P79483', 'AndrogenReceptor', 'P01911'})"
"frozenset({'Q9H2H9', 'AndrogenReceptor', 'Q15392'})"
"frozenset({'AndrogenReceptor', 'Q14315', 'P45985'})"
"frozenset({'P63244', 'AndrogenReceptor', 'P68104'})"
"frozenset({'O43808', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'Q8IXK0', 'Q9H3G5', 'AndrogenReceptor'})"
"frozenset({'Q9Y266', 'AndrogenReceptor', 'P25685'})"
"frozenset({'AndrogenReceptor', 'Q7KYR7', 'A8MVW0'})"
"frozenset({'Q86UE4', 'AndrogenReceptor', 'O96019'})"
"frozenset({'Q5VU43', 'Q9UHA4', 'AndrogenReceptor'})"
"frozenset({'Q9ULP0', 'Q6RW13', 'AndrogenReceptor'})"
"frozenset({'P62979', 'AndrogenReceptor', 'Q13351'})"
"frozenset({'Q16623', 'AndrogenReceptor', 'Q16617'})"
"frozenset({'Q15019', 'AndrogenReceptor', 'Q9BVJ6'})"
"frozenset({'O60739', 'AndrogenReceptor', 'P61247'})"
"frozenset({'Q9NVC6', 'P10828', 'AndrogenReceptor'})"
"frozenset({'Q6ZNC8', 'AndrogenReceptor', 'O94822'})"
"frozenset({'P42684', 'O15304', 'AndrogenReceptor'})"
"frozenset({'Q9BYM8', 'AndrogenReceptor', 'Q9P0P0'})"
"frozenset({'O00555', 'Q8IZP0', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P08779', 'P19013'})"
"frozenset({'AndrogenReceptor', 'O43707', 'Q14999'})"
"frozenset({'P46019', 'Q12768', 'AndrogenReceptor'})"
"frozenset({'Q9UPM6', 'AndrogenReceptor', 'Q8IWB7'})"
"frozenset({'Q9BXB1', 'AndrogenReceptor', 'Q86VI3'})"
"frozenset({'P34810', 'O14787', 'AndrogenReceptor'})"
"frozenset({'Q8NGG6', 'P38405', 'AndrogenReceptor'})"
"frozenset({'Q504Q3', 'P09497', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UKV0', 'Q71DI3'})"
"frozenset({'AndrogenReceptor', 'Q9H553', 'O94979'})"
"frozenset({'Q9Y3B4', 'Q05519', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P07437', 'P31153'})"
"frozenset({'Q9Y3E0', 'P02786', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96EZ8', 'Q99683'})"
"frozenset({'O43482', 'Q15910', 'AndrogenReceptor'})"
"frozenset({'P84022', 'P41235', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P05067', 'Q8WTV1'})"
"frozenset({'P62945', 'AndrogenReceptor', 'P83731'})"
"frozenset({'AndrogenReceptor', 'Q15424', 'P43243'})"
"frozenset({'Q969P0', 'AndrogenReceptor', 'Q9BUF5'})"
"frozenset({'Q15393', 'AndrogenReceptor', 'P35637'})"
"frozenset({'Q9H0C8', 'Q8NFZ0', 'AndrogenReceptor'})"
"frozenset({'Q99816', 'Q8N0S2', 'AndrogenReceptor'})"
"frozenset({'Q96MY7', 'O95995', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95257', 'P24522'})"
"frozenset({'Q6PK04', 'AndrogenReceptor', 'P06748'})"
"frozenset({'P30260', 'AndrogenReceptor', 'P12830'})"
"frozenset({'P09914', 'AndrogenReceptor', 'P08579'})"
"frozenset({'Q09028', 'AndrogenReceptor', 'Q9Y294'})"
"frozenset({'AndrogenReceptor', 'P19174', 'Q9UKN8'})"
"frozenset({'Q99459', 'AndrogenReceptor', 'Q15645'})"
"frozenset({'P02741', 'AndrogenReceptor', 'Q00653'})"
"frozenset({'Q9UBX2', 'AndrogenReceptor', 'P02545'})"
"frozenset({'P62807', 'Q6FI13', 'AndrogenReceptor'})"
"frozenset({'P01112', 'AndrogenReceptor', 'O43683'})"
"frozenset({'P01106', 'Q3KQU3', 'AndrogenReceptor'})"
"frozenset({'Q9BYM8', 'Q13546', 'AndrogenReceptor'})"
"frozenset({'Q16698', 'AndrogenReceptor', 'O00567'})"
"frozenset({'Q9BSF4', 'AndrogenReceptor', 'Q68DC2'})"
"frozenset({'AndrogenReceptor', 'P11441', 'Q15286'})"
"frozenset({'AndrogenReceptor', 'P38646', 'Q9H9S0'})"
"frozenset({'AndrogenReceptor', 'Q96B97', 'Q14244'})"
"frozenset({'AndrogenReceptor', 'Q9H2X0', 'O43610'})"
"frozenset({'Q9NU02', 'Q9BWW4', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q15287', 'P50053'})"
"frozenset({'Q13616', 'AndrogenReceptor', 'Q9NRD0'})"
"frozenset({'Q99728', 'AndrogenReceptor', 'Q96HS1'})"
"frozenset({'P31946', 'Q8NEY1', 'AndrogenReceptor'})"
"frozenset({'P51587', 'AndrogenReceptor', 'P51784'})"
"frozenset({'O14920', 'AndrogenReceptor', 'Q9UBT7'})"
"frozenset({'P38405', 'AndrogenReceptor', 'A4D2G3'})"
"frozenset({'Q13330', 'Q58EX7', 'AndrogenReceptor'})"
"frozenset({'Q9UG01', 'AndrogenReceptor', 'Q9Y547'})"
"frozenset({'Q6PKG0', 'AndrogenReceptor', 'Q9UN81'})"
"frozenset({'Q14247', 'AndrogenReceptor', 'P35326'})"
"frozenset({'P22694', 'O43920', 'AndrogenReceptor'})"
"frozenset({'Q14BN4', 'AndrogenReceptor', 'Q9P289'})"
"frozenset({'Q86Y82', 'AndrogenReceptor', 'Q9P0N5'})"
"frozenset({'P11802', 'AndrogenReceptor', 'P46527'})"
"frozenset({'Q9BPY3', 'AndrogenReceptor', 'Q8WYH8'})"
"frozenset({'P61978', 'AndrogenReceptor', 'P05412'})"
"frozenset({'AndrogenReceptor', 'P24385', 'Q9NQX5'})"
"frozenset({'Q07666', 'AndrogenReceptor', 'Q9NZM3'})"
"frozenset({'AndrogenReceptor', 'Q9NZL4', 'Q96AY3'})"
"frozenset({'AndrogenReceptor', 'Q15744', 'Q9Y2X0'})"
"frozenset({'AndrogenReceptor', 'P10809', 'P61604'})"
"frozenset({'O75312', 'AndrogenReceptor', 'P62942'})"
"frozenset({'Q9Y5M8', 'AndrogenReceptor', 'Q96PM5'})"
"frozenset({'Q9BQ66', 'AndrogenReceptor', 'O95985'})"
"frozenset({'P22681', 'AndrogenReceptor', 'P78314'})"
"frozenset({'P30273', 'P43405', 'AndrogenReceptor'})"
"frozenset({'Q6DT37', 'AndrogenReceptor', 'P63000'})"
"frozenset({'P02776', 'AndrogenReceptor', 'P41597'})"
"frozenset({'O14964', 'AndrogenReceptor', 'Q8IYI6'})"
"frozenset({'Q13191', 'Q9HBE5', 'AndrogenReceptor'})"
"frozenset({'Q12841', 'Q8WZ79', 'AndrogenReceptor'})"
"frozenset({'O43255', 'AndrogenReceptor', 'P36873'})"
"frozenset({'Q9BXP5', 'Q5H9R7', 'AndrogenReceptor'})"
"frozenset({'Q8TCE9', 'Q969V4', 'AndrogenReceptor'})"
"frozenset({'Q13618', 'AndrogenReceptor', 'P40616'})"
"frozenset({'Q9HCU4', 'AndrogenReceptor', 'O00148'})"
"frozenset({'P60953', 'AndrogenReceptor', 'Q9UKR5'})"
"frozenset({'P16615', 'P51149', 'AndrogenReceptor'})"
"frozenset({'P62888', 'AndrogenReceptor', 'O95166'})"
"frozenset({'AndrogenReceptor', 'Q5JU00', 'Q6P4R8'})"
"frozenset({'Q9UGL9', 'AndrogenReceptor', 'P60411'})"
"frozenset({'Q9Y282', 'AndrogenReceptor', 'Q9P0S2'})"
"frozenset({'Q9H0E7', 'Q13601', 'AndrogenReceptor'})"
"frozenset({'Q99665', 'AndrogenReceptor', 'Q8IZJ0'})"
"frozenset({'P41091', 'AndrogenReceptor', 'P62701'})"
"frozenset({'Q9BUN8', 'AndrogenReceptor', 'Q9GZP9'})"
"frozenset({'AndrogenReceptor', 'Q13952', 'Q6IQ32'})"
"frozenset({'P22492', 'AndrogenReceptor', 'P49736'})"
"frozenset({'Q9NQT5', 'AndrogenReceptor', 'Q9NQT4'})"
"frozenset({'O75340', 'AndrogenReceptor', 'Q8NDC0'})"
"frozenset({'Q99832', 'AndrogenReceptor', 'Q9H1B4'})"
"frozenset({'P27348', 'AndrogenReceptor', 'O75592'})"
"frozenset({'Q9Y5Q9', 'P55316', 'AndrogenReceptor'})"
"frozenset({'Q969Q1', 'Q58WW2', 'AndrogenReceptor'})"
"frozenset({'P54707', 'AndrogenReceptor', 'Q96G27'})"
"frozenset({'P05231', 'Q5VWK5', 'AndrogenReceptor'})"
"frozenset({'Q9BXB1', 'AndrogenReceptor', 'Q12788'})"
"frozenset({'P49238', 'P49407', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9H4M9', 'O60936'})"
"frozenset({'Q9BQA1', 'P62316', 'AndrogenReceptor'})"
"frozenset({'P40855', 'Q8IXI2', 'AndrogenReceptor'})"
"frozenset({'P22695', 'P27824', 'AndrogenReceptor'})"
"frozenset({'Q93079', 'P60033', 'AndrogenReceptor'})"
"frozenset({'Q8TCT1', 'AndrogenReceptor', 'P04181'})"
"frozenset({'Q8IZP0', 'Q13191', 'AndrogenReceptor'})"
"frozenset({'Q99437', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'P30926', 'P50222', 'AndrogenReceptor'})"
"frozenset({'Q96D21', 'O75626', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P00813', 'P24666'})"
"frozenset({'P04040', 'Q14145', 'AndrogenReceptor'})"
"frozenset({'O60603', 'Q05513', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P13984', 'Q99961'})"
"frozenset({'Q2M1P5', 'Q9P2X3', 'AndrogenReceptor'})"
"frozenset({'Q9NZB2', 'P13284', 'AndrogenReceptor'})"
"frozenset({'P62826', 'AndrogenReceptor', 'P12830'})"
"frozenset({'P63096', 'AndrogenReceptor', 'P09769'})"
"frozenset({'P25705', 'AndrogenReceptor', 'Q9Y6C9'})"
"frozenset({'AndrogenReceptor', 'Q8WWY6', 'O94776'})"
"frozenset({'P61978', 'AndrogenReceptor', 'P18146'})"
"frozenset({'Q8IZS8', 'Q00005', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P09661', 'Q13573'})"
"frozenset({'Q92764', 'AndrogenReceptor', 'P42566'})"
"frozenset({'P0DP25', 'Q96BK5', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P20333', 'P51571'})"
"frozenset({'Q9NQ29', 'AndrogenReceptor', 'O60506'})"
"frozenset({'P11388', 'P38398', 'AndrogenReceptor'})"
"frozenset({'Q14573', 'AndrogenReceptor', 'Q96H55'})"
"frozenset({'P09012', 'AndrogenReceptor', 'Q8WVP5'})"
"frozenset({'Q8IWL3', 'Q9Y305', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q96A72', 'Q9Y2J4'})"
"frozenset({'Q96MY7', 'A6NC98', 'AndrogenReceptor'})"
"frozenset({'Q14145', 'AndrogenReceptor', 'P58317'})"
"frozenset({'Q9H8H0', 'AndrogenReceptor', 'Q13439'})"
"frozenset({'Q8NHQ8', 'AndrogenReceptor', 'P05067'})"
"frozenset({'Q9Y5P8', 'P54284', 'AndrogenReceptor'})"
"frozenset({'Q9H0E9', 'Q9NPF5', 'AndrogenReceptor'})"
"frozenset({'Q00005', 'AndrogenReceptor', 'B2RTY4'})"
"frozenset({'AndrogenReceptor', 'Q13829', 'O75716'})"
"frozenset({'P16144', 'Q96B67', 'AndrogenReceptor'})"
"frozenset({'Q9BQA1', 'AndrogenReceptor', 'P10275'})"
"frozenset({'Q9UH03', 'AndrogenReceptor', 'Q14847'})"
"frozenset({'Q5VVM6', 'AndrogenReceptor', 'Q7Z569'})"
"frozenset({'AndrogenReceptor', 'P01574', 'Q6UXL0'})"
"frozenset({'Q9BZQ2', 'AndrogenReceptor', 'Q7Z569'})"
"frozenset({'P0DML3', 'AndrogenReceptor', 'P09619'})"
"frozenset({'Q9NQC7', 'AndrogenReceptor', 'Q12933'})"
"frozenset({'Q9NX05', 'AndrogenReceptor', 'Q12800'})"
"frozenset({'AndrogenReceptor', 'Q16620', 'Q9NP95'})"
"frozenset({'P17844', 'AndrogenReceptor', 'P01730'})"
"frozenset({'Q6IEY1', 'P32121', 'AndrogenReceptor'})"
"frozenset({'Q6P2Q9', 'AndrogenReceptor', 'Q13765'})"
"frozenset({'Q9NZW5', 'AndrogenReceptor', 'P19838'})"
"frozenset({'Q9NZH6', 'AndrogenReceptor', 'P29466'})"
"frozenset({'P12931', 'AndrogenReceptor', 'Q9BWW9'})"
"frozenset({'Q9P258', 'AndrogenReceptor', 'Q96SY0'})"
"frozenset({'P13010', 'AndrogenReceptor', 'P34947'})"
"frozenset({'AndrogenReceptor', 'P12830', 'P53367'})"
"frozenset({'Q9NNX6', 'AndrogenReceptor', 'Q14164'})"
"frozenset({'P52788', 'P27348', 'AndrogenReceptor'})"
"frozenset({'Q92620', 'AndrogenReceptor', 'Q8IWZ8'})"
"frozenset({'P61513', 'P62277', 'AndrogenReceptor'})"
"frozenset({'Q9UK80', 'Q9Y2K6', 'AndrogenReceptor'})"
"frozenset({'Q9H496', 'O14657', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O14777', 'P18848'})"
"frozenset({'AndrogenReceptor', 'Q9Y3M2', 'Q6PF05'})"
"frozenset({'P49407', 'AndrogenReceptor', 'Q9GZK3'})"
"frozenset({'P35968', 'AndrogenReceptor', 'P34130'})"
"frozenset({'P50281', 'AndrogenReceptor', 'Q8N6L0'})"
"frozenset({'Q9Y4K3', 'P43405', 'AndrogenReceptor'})"
"frozenset({'Q92804', 'AndrogenReceptor', 'Q15022'})"
"frozenset({'P07477', 'P13645', 'AndrogenReceptor'})"
"frozenset({'Q00005', 'AndrogenReceptor', 'Q9NY47'})"
"frozenset({'P25963', 'AndrogenReceptor', 'P68036'})"
"frozenset({'Q9NZ94', 'AndrogenReceptor', 'P62942'})"
"frozenset({'O75530', 'P11387', 'AndrogenReceptor'})"
"frozenset({'P49327', 'Q6NUN9', 'AndrogenReceptor'})"
"frozenset({'Q9Y5U9', 'AndrogenReceptor', 'Q92520'})"
"frozenset({'P01106', 'AndrogenReceptor', 'P49448'})"
"frozenset({'Q6PKC3', 'AndrogenReceptor', 'O14543'})"
"frozenset({'P36578', 'Q8NC51', 'AndrogenReceptor'})"
"frozenset({'P20073', 'AndrogenReceptor', 'O43896'})"
"frozenset({'Q05655', 'AndrogenReceptor', 'O95622'})"
"frozenset({'AndrogenReceptor', 'Q9H211', 'Q9Y5N6'})"
"frozenset({'AndrogenReceptor', 'Q9BTC8', 'P07437'})"
"frozenset({'Q16629', 'AndrogenReceptor', 'P14866'})"
"frozenset({'Q7L5N1', 'Q9H078', 'AndrogenReceptor'})"
"frozenset({'P46531', 'Q14527', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q7Z624', 'P04350'})"
"frozenset({'Q13616', 'AndrogenReceptor', 'Q9UMS4'})"
"frozenset({'Q7Z6G3', 'AndrogenReceptor', 'Q00994'})"
"frozenset({'Q92817', 'AndrogenReceptor', 'P17040'})"
"frozenset({'O95487', 'AndrogenReceptor', 'P49736'})"
"frozenset({'Q9BRN9', 'AndrogenReceptor', 'O00148'})"
"frozenset({'Q9UQ84', 'P01106', 'AndrogenReceptor'})"
"frozenset({'O60828', 'P51681', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q99750', 'Q00587'})"
"frozenset({'Q8IWW8', 'AndrogenReceptor', 'P50148'})"
"frozenset({'Q05193', 'Q14247', 'AndrogenReceptor'})"
"frozenset({'Q92793', 'P31260', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00186', 'O00161'})"
"frozenset({'Q5TH69', 'AndrogenReceptor', 'Q99496'})"
"frozenset({'Q13813', 'Q15393', 'AndrogenReceptor'})"
"frozenset({'Q9H2G2', 'AndrogenReceptor', 'Q12947'})"
"frozenset({'P06401', 'P09086', 'AndrogenReceptor'})"
"frozenset({'P30154', 'Q5VSL9', 'AndrogenReceptor'})"
"frozenset({'Q13315', 'Q8IU60', 'AndrogenReceptor'})"
"frozenset({'Q8WYK2', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'P29474', 'AndrogenReceptor', 'Q9Y3D6'})"
"frozenset({'Q9BUL8', 'AndrogenReceptor', 'Q8IY42'})"
"frozenset({'P62249', 'AndrogenReceptor', 'Q8NHW5'})"
"frozenset({'Q9BYR8', 'AndrogenReceptor', 'O15160'})"
"frozenset({'Q2NKQ1', 'AndrogenReceptor', 'O15182'})"
"frozenset({'P61769', 'AndrogenReceptor', 'P62993'})"
"frozenset({'P62079', 'Q96AA3', 'AndrogenReceptor'})"
"frozenset({'P10644', 'AndrogenReceptor', 'Q15717'})"
"frozenset({'AndrogenReceptor', 'Q14653', 'O00410'})"
"frozenset({'Q13418', 'AndrogenReceptor', 'Q14517'})"
"frozenset({'Q96C92', 'AndrogenReceptor', 'P49674'})"
"frozenset({'P57086', 'AndrogenReceptor', 'O43309'})"
"frozenset({'Q5JS13', 'P01106', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9C0B5', 'P12830'})"
"frozenset({'P08243', 'AndrogenReceptor', 'P31153'})"
"frozenset({'P18846', 'AndrogenReceptor', 'Q99706'})"
"frozenset({'P15880', 'AndrogenReceptor', 'O00567'})"
"frozenset({'Q9C0F1', 'AndrogenReceptor', 'Q2KHM9'})"
"frozenset({'Q9BWH6', 'P67870', 'AndrogenReceptor'})"
"frozenset({'Q8IWZ5', 'AndrogenReceptor', 'Q92922'})"
"frozenset({'O75489', 'O43920', 'AndrogenReceptor'})"
"frozenset({'Q8TD22', 'AndrogenReceptor', 'P43657'})"
"frozenset({'P05165', 'Q5T160', 'AndrogenReceptor'})"
"frozenset({'P49736', 'AndrogenReceptor', 'P10809'})"
"frozenset({'O43186', 'P34130', 'AndrogenReceptor'})"
"frozenset({'Q9Y265', 'O00115', 'AndrogenReceptor'})"
"frozenset({'P41240', 'AndrogenReceptor', 'P29353'})"
"frozenset({'Q5MJ10', 'P38432', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9UGJ1', 'Q99590'})"
"frozenset({'Q9H7L9', 'Q6R6M4', 'AndrogenReceptor'})"
"frozenset({'P01344', 'AndrogenReceptor', 'P29317'})"
"frozenset({'O14975', 'P27797', 'AndrogenReceptor'})"
"frozenset({'P26641', 'AndrogenReceptor', 'P53602'})"
"frozenset({'P18583', 'AndrogenReceptor', 'Q14498'})"
"frozenset({'Q13363', 'AndrogenReceptor', 'Q99592'})"
"frozenset({'Q9Y576', 'AndrogenReceptor', 'Q03393'})"
"frozenset({'Q13428', 'AndrogenReceptor', 'O00567'})"
"frozenset({'Q15691', 'P78362', 'AndrogenReceptor'})"
"frozenset({'O43598', 'Q9UET6', 'AndrogenReceptor'})"
"frozenset({'Q9BXM0', 'AndrogenReceptor', 'P55157'})"
"frozenset({'AndrogenReceptor', 'P61313', 'Q9UQ80'})"
"frozenset({'Q06481', 'P51693', 'AndrogenReceptor'})"
"frozenset({'Q96BR5', 'AndrogenReceptor', 'P24387'})"
"frozenset({'Q86Y39', 'AndrogenReceptor', 'O43676'})"
"frozenset({'P78369', 'P56880', 'AndrogenReceptor'})"
"frozenset({'Q96QD9', 'AndrogenReceptor', 'Q96M27'})"
"frozenset({'Q99967', 'Q92481', 'AndrogenReceptor'})"
"frozenset({'Q8WUM9', 'AndrogenReceptor', 'Q16659'})"
"frozenset({'P43378', 'AndrogenReceptor', 'P10912'})"
"frozenset({'O75586', 'P62487', 'AndrogenReceptor'})"
"frozenset({'Q9HB90', 'Q8NBW4', 'AndrogenReceptor'})"
"frozenset({'Q9C0K0', 'O43463', 'AndrogenReceptor'})"
"frozenset({'Q9H444', 'AndrogenReceptor', 'Q9NVX2'})"
"frozenset({'P48736', 'AndrogenReceptor', 'Q9Y243'})"
"frozenset({'P00533', 'Q9HAV4', 'AndrogenReceptor'})"
"frozenset({'P13010', 'Q9UBX2', 'AndrogenReceptor'})"
"frozenset({'P35227', 'O95238', 'AndrogenReceptor'})"
"frozenset({'P35244', 'AndrogenReceptor', 'Q01780'})"
"frozenset({'P13612', 'AndrogenReceptor', 'Q12905'})"
"frozenset({'Q15293', 'P68363', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q12772', 'P01130'})"
"frozenset({'AndrogenReceptor', 'P01024', 'Q9ULK4'})"
"frozenset({'O60610', 'AndrogenReceptor', 'O00213'})"
"frozenset({'Q15149', 'AndrogenReceptor', 'P53680'})"
"frozenset({'P36957', 'AndrogenReceptor', 'P35080'})"
"frozenset({'O95817', 'AndrogenReceptor', 'Q8N3V7'})"
"frozenset({'Q92793', 'Q99453', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O00273', 'O15067'})"
"frozenset({'AndrogenReceptor', 'Q86Y13', 'Q96EK4'})"
"frozenset({'AndrogenReceptor', 'O43306', 'Q13557'})"
"frozenset({'AndrogenReceptor', 'P48431', 'Q9UNS2'})"
"frozenset({'Q8IZP0', 'AndrogenReceptor', 'Q8N4C6'})"
"frozenset({'Q15532', 'AndrogenReceptor', 'Q13547'})"
"frozenset({'P35548', 'P49715', 'AndrogenReceptor'})"
"frozenset({'Q504Q3', 'AndrogenReceptor', 'Q9HAC8'})"
"frozenset({'P12931', 'AndrogenReceptor', 'P61981'})"
"frozenset({'Q7Z2W9', 'Q8N5N7', 'AndrogenReceptor'})"
"frozenset({'Q09472', 'AndrogenReceptor', 'P39748'})"
"frozenset({'AndrogenReceptor', 'P62424', 'P50914'})"
"frozenset({'Q9NQ50', 'Q4U2R6', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P26038', 'Q14324'})"
"frozenset({'Q9UKD1', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'Q14566', 'AndrogenReceptor', 'O00505'})"
"frozenset({'Q9Y6M4', 'AndrogenReceptor', 'O14640'})"
"frozenset({'Q01844', 'AndrogenReceptor', 'Q96EP5'})"
"frozenset({'Q9NVI1', 'AndrogenReceptor', 'Q9BUV8'})"
"frozenset({'O14980', 'AndrogenReceptor', 'O14733'})"
"frozenset({'Q99550', 'AndrogenReceptor', 'Q8NA72'})"
"frozenset({'O43463', 'AndrogenReceptor', 'O60341'})"
"frozenset({'Q14157', 'Q92830', 'AndrogenReceptor'})"
"frozenset({'Q16832', 'AndrogenReceptor', 'P12830'})"
"frozenset({'P60520', 'P38646', 'AndrogenReceptor'})"
"frozenset({'Q9BRK4', 'Q9NY65', 'AndrogenReceptor'})"
"frozenset({'P42766', 'AndrogenReceptor', 'P46782'})"
"frozenset({'AndrogenReceptor', 'P62195', 'Q13573'})"
"frozenset({'AndrogenReceptor', 'P05067', 'Q12894'})"
"frozenset({'P62837', 'Q8TDB6', 'AndrogenReceptor'})"
"frozenset({'P43363', 'AndrogenReceptor', 'Q86XP3'})"
"frozenset({'Q9P219', 'AndrogenReceptor', 'O14640'})"
"frozenset({'O95299', 'AndrogenReceptor', 'Q16891'})"
"frozenset({'O95273', 'AndrogenReceptor', 'Q99700'})"
"frozenset({'Q9UIV1', 'AndrogenReceptor', 'Q4VXU2'})"
"frozenset({'AndrogenReceptor', 'P67870', 'P14598'})"
"frozenset({'Q86YC2', 'P51587', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P22612', 'Q8NH03'})"
"frozenset({'P25445', 'AndrogenReceptor', 'P06239'})"
"frozenset({'AndrogenReceptor', 'P98175', 'Q04741'})"
"frozenset({'P18564', 'P17301', 'AndrogenReceptor'})"
"frozenset({'Q5BJF6', 'Q96A65', 'AndrogenReceptor'})"
"frozenset({'Q9NVF9', 'A8MQ03', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'O95257', 'P28715'})"
"frozenset({'Q8NFH3', 'Q9HC62', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'P14868', 'P15927'})"
"frozenset({'Q69YQ0', 'AndrogenReceptor', 'Q6IQ23'})"
"frozenset({'P07737', 'AndrogenReceptor', 'P16871'})"
"frozenset({'P43220', 'P60410', 'AndrogenReceptor'})"
"frozenset({'Q9H2K2', 'AndrogenReceptor', 'P28482'})"
"frozenset({'AndrogenReceptor', 'Q12923', 'Q6Y7W6'})"
"frozenset({'AndrogenReceptor', 'Q12933', 'Q15046'})"
"frozenset({'Q9Y5A9', 'AndrogenReceptor', 'P19320'})"
"frozenset({'Q99459', 'AndrogenReceptor', 'O95613'})"
"frozenset({'Q9H5K3', 'AndrogenReceptor', 'A0PK00'})"
"frozenset({'P62266', 'Q8NC51', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9BYB0', 'P27986'})"
"frozenset({'P14635', 'AndrogenReceptor', 'Q13042'})"
"frozenset({'Q9BSQ5', 'AndrogenReceptor', 'Q9HAU4'})"
"frozenset({'AndrogenReceptor', 'Q9Y275', 'Q86VS8'})"
"frozenset({'P01106', 'AndrogenReceptor', 'P67775'})"
"frozenset({'P12980', 'AndrogenReceptor', 'Q02535'})"
"frozenset({'P22736', 'AndrogenReceptor', 'Q9NVW2'})"
"frozenset({'Q9NZB2', 'Q15910', 'AndrogenReceptor'})"
"frozenset({'P09544', 'Q6FHJ7', 'AndrogenReceptor'})"
"frozenset({'Q8WV60', 'AndrogenReceptor', 'Q9UBU9'})"
"frozenset({'P62879', 'Q96PN6', 'AndrogenReceptor'})"
"frozenset({'O95816', 'AndrogenReceptor', 'O75061'})"
"frozenset({'Q9BSU1', 'P31151', 'AndrogenReceptor'})"
"frozenset({'P01112', 'AndrogenReceptor', 'Q15843'})"
"frozenset({'AndrogenReceptor', 'P63215', 'O95467'})"
"frozenset({'Q9NZJ5', 'P49768', 'AndrogenReceptor'})"
"frozenset({'P51970', 'AndrogenReceptor', 'Q6YN16'})"
"frozenset({'Q92845', 'AndrogenReceptor', 'Q04446'})"
"frozenset({'P04049', 'AndrogenReceptor', 'P07900'})"
"frozenset({'Q8NEY1', 'Q9Y3M2', 'AndrogenReceptor'})"
"frozenset({'P04908', 'AndrogenReceptor', 'P34897'})"
"frozenset({'Q6UVK1', 'AndrogenReceptor', 'P04632'})"
"frozenset({'Q13616', 'P62837', 'AndrogenReceptor'})"
"frozenset({'Q8N122', 'AndrogenReceptor', 'O43156'})"
"frozenset({'Q6A162', 'AndrogenReceptor', 'Q9P0T4'})"
"frozenset({'P55072', 'P02647', 'AndrogenReceptor'})"
"frozenset({'P36578', 'AndrogenReceptor', 'Q13620'})"
"frozenset({'Q16659', 'Q9Y4G2', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q8IZD9', 'P84095'})"
"frozenset({'P63151', 'Q8N461', 'AndrogenReceptor'})"
"frozenset({'P43034', 'Q13409', 'AndrogenReceptor'})"
"frozenset({'O43143', 'P61978', 'AndrogenReceptor'})"
"frozenset({'P04040', 'AndrogenReceptor', 'Q8IV20'})"
"frozenset({'P04629', 'AndrogenReceptor', 'P82673'})"
"frozenset({'Q96B36', 'AndrogenReceptor', 'P63104'})"
"frozenset({'P56524', 'P25490', 'AndrogenReceptor'})"
"frozenset({'AndrogenReceptor', 'Q9Y2I1', 'P62993'})"
"frozenset({'P46940', 'Q9BUA6', 'AndrogenReceptor'})"
"frozenset({'O94826', 'AndrogenReceptor', 'Q9H9B4'})"
"frozenset({'O75116', 'O95793', 'AndrogenReceptor'})"
